"행정구역(시군구)별",1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
"전국",44503200,45001113,45416339,45858029,46266256,46684069,46991171,47335678,47732558,48021543,48229948,48386823,48583805,48782274,48991779,49268928,49540367,49773145,50515666,50734284,50948272,51141463,51327916,51529338,51696216,51778544
"서울특별시",10935230,10889499,10759454,10550871,10418076,10336134,10270506,10264260,10311314,10263336,10207295,10174086,10173162,10167344,10181166,10192710,10200827,10208302,10312545,10249679,10195318,10143645,10103233,10022181,9930616,9857426
"종로구",226240,221049,213187,203086,197563,194696,188732,186590,186378,184225,181231,177519,174372,169315,166793,165846,170705,168603,170578,168382,165207,160070,156993,154986,152737,154770
"중구",174605,165129,153901,143138,132189,126892,122500,126254,141010,143016,138134,134548,131971,130027,130649,130044,130362,129465,132822,133193,133360,130465,128065,125733,125249,125709
"용산구",280671,271379,264188,254579,247694,238304,239282,237489,240087,241033,234653,231871,230107,230260,232035,235832,238224,238708,244853,246501,243232,239740,235951,233342,230241,229161
"성동구",778385,765944,750814,341582,329914,324615,321945,339175,340790,341375,340773,339368,339113,337744,334437,333535,314212,308058,309093,300711,299604,299337,296086,297003,299259,304808
"광진구",-,-,-,389920,390739,396580,395921,390061,391309,388109,386511,384929,380537,375613,374442,376572,375482,373998,375463,371936,371313,368927,363354,360369,357215,357703
"동대문구",469843,458149,442068,418985,398060,388172,377724,367025,380444,381799,381841,382875,379404,381110,378860,376421,370250,362146,366786,365486,363258,364273,363687,360153,355069,350647
"중랑구",458109,459818,457347,454534,477850,475089,467001,461737,458440,448928,442125,436089,433858,427373,426078,427071,427871,424761,427455,423706,419295,416798,418836,413909,411005,408226
"성북구",525943,512787,501967,495737,485240,476502,478830,472929,460862,450602,443809,453057,451122,462879,472843,469973,473357,476028,488932,485171,481857,476589,466706,459275,450355,444055
"강북구",-,-,-,394548,379062,367787,360814,352142,351995,351404,361896,360663,360525,353260,348990,345478,342274,340367,346520,345054,343157,338707,335025,330873,327195,324479
"도봉구",765975,779610,774414,373630,381465,387808,380844,375275,370976,371259,371911,376599,381939,381529,377534,375975,373936,369733,368298,365573,362270,358582,353709,351242,348220,344166
"노원구",571171,587399,588757,598529,585907,586284,594851,617500,632634,646905,641652,631931,628184,622003,618093,616753,615981,610616,611230,603930,597189,590479,582552,574583,567581,554403
"은평구",506694,511461,510944,502310,497417,490500,479841,472464,469417,467719,470205,474778,478087,470751,464580,459196,458401,465895,488109,493634,501480,503660,498644,497920,491476,486794
"서대문구",387201,378574,371090,367318,361529,354084,361733,365783,367380,366228,362614,355753,352071,349163,349020,348575,331688,327451,324541,314852,315113,314110,310376,312141,314194,312800
"마포구",430650,420573,410571,398228,390831,388736,384550,385114,387308,379141,375417,379451,383457,388164,390583,392650,385119,384013,391865,389493,384644,381856,385439,387643,379892,374915
"양천구",507141,498727,491279,485777,485497,484538,483674,480313,486781,484345,484518,486962,495098,499755,501717,503650,502343,501395,500001,500210,495911,492528,486221,484532,477739,471154
"강서구",437330,473643,507409,522409,522640,518067,516590,519786,521231,521489,528321,537003,541671,553660,554945,560424,576848,572836,574127,569072,567431,569070,585160,589074,595485,601691
"구로구",738140,722928,696060,382207,377391,376436,380623,395294,403097,415330,413363,412845,416828,416405,419832,420542,420795,421967,423736,427468,427520,424964,425831,422092,417551,410742
"금천구",-,-,-,283089,271718,270764,272276,268629,266431,260476,261413,261224,259633,256902,253243,249108,247320,244835,245195,243438,243288,241020,238463,236284,235386,235154
"영등포구",452091,443919,432060,416050,405326,404017,403380,404306,406510,406860,408753,403327,406261,408386,408698,408178,408099,405798,406833,397443,391408,386471,382352,378504,370613,368550
"동작구",426725,439453,439699,435601,433608,430950,424636,419161,415892,406116,403047,410360,410945,410481,408582,405967,400866,397920,402709,401408,405491,410815,407470,400641,400997,396217
"관악구",589171,589811,577977,557653,542325,533577,525729,517552,524404,527764,522207,522456,530156,530020,535217,535571,534556,529869,531434,526397,523029,518028,513186,509663,506851,503297
"서초구",417177,407993,409161,404918,405743,403506,401179,400950,397869,393849,389256,394757,400868,401736,408266,405969,406320,425481,434720,433564,435044,441763,449678,446764,447192,441102
"강남구",556120,562792,568498,554573,552768,550803,550387,552293,550343,540640,535138,528977,531517,540909,556964,560958,557832,562138,570095,565710,564197,563599,578114,576495,567115,556164
"송파구",687788,683439,678019,666806,668987,674577,668879,665918,663177,655483,647037,619514,604293,605840,607005,623876,668962,681476,685279,682209,673115,668415,664738,660302,657831,664496
"강동구",548060,534922,520044,505664,496613,492850,488585,490520,496549,489241,481470,477230,471145,464059,461760,464546,469024,484745,491871,495138,487905,483379,476597,458658,444168,436223
