"행정구역(동읍면)별","시점","항목","5세별",데이터
"영등포본동","2011","총인구수 (명)","계",25513
"영등포본동","2011","총인구수 (명)","0 - 4세",1263
"영등포본동","2011","총인구수 (명)","5 - 9세",1050
"영등포본동","2011","총인구수 (명)","10 - 14세",1118
"영등포본동","2011","총인구수 (명)","15 - 19세",1368
"영등포본동","2011","총인구수 (명)","20 - 24세",1408
"영등포본동","2011","총인구수 (명)","25 - 29세",2087
"영등포본동","2011","총인구수 (명)","30 - 34세",2568
"영등포본동","2011","총인구수 (명)","35 - 39세",2541
"영등포본동","2011","총인구수 (명)","40 - 44세",2232
"영등포본동","2011","총인구수 (명)","45 - 49세",1967
"영등포본동","2011","총인구수 (명)","50 - 54세",2226
"영등포본동","2011","총인구수 (명)","55 - 59세",1789
"영등포본동","2011","총인구수 (명)","60 - 64세",1307
"영등포본동","2011","총인구수 (명)","65 - 69세",1010
"영등포본동","2011","총인구수 (명)","70 - 74세",720
"영등포본동","2011","총인구수 (명)","75 - 79세",469
"영등포본동","2011","총인구수 (명)","80 - 84세",228
"영등포본동","2011","총인구수 (명)","85 - 89세",98
"영등포본동","2011","총인구수 (명)","90 - 94세",47
"영등포본동","2011","총인구수 (명)","95 - 99세",7
"영등포본동","2011","총인구수 (명)","100+",10
"영등포본동","2011","남자인구수 (명)","계",12993
"영등포본동","2011","남자인구수 (명)","0 - 4세",679
"영등포본동","2011","남자인구수 (명)","5 - 9세",538
"영등포본동","2011","남자인구수 (명)","10 - 14세",594
"영등포본동","2011","남자인구수 (명)","15 - 19세",717
"영등포본동","2011","남자인구수 (명)","20 - 24세",714
"영등포본동","2011","남자인구수 (명)","25 - 29세",1085
"영등포본동","2011","남자인구수 (명)","30 - 34세",1308
"영등포본동","2011","남자인구수 (명)","35 - 39세",1363
"영등포본동","2011","남자인구수 (명)","40 - 44세",1185
"영등포본동","2011","남자인구수 (명)","45 - 49세",1056
"영등포본동","2011","남자인구수 (명)","50 - 54세",1080
"영등포본동","2011","남자인구수 (명)","55 - 59세",891
"영등포본동","2011","남자인구수 (명)","60 - 64세",636
"영등포본동","2011","남자인구수 (명)","65 - 69세",496
"영등포본동","2011","남자인구수 (명)","70 - 74세",344
"영등포본동","2011","남자인구수 (명)","75 - 79세",187
"영등포본동","2011","남자인구수 (명)","80 - 84세",76
"영등포본동","2011","남자인구수 (명)","85 - 89세",25
"영등포본동","2011","남자인구수 (명)","90 - 94세",15
"영등포본동","2011","남자인구수 (명)","95 - 99세",1
"영등포본동","2011","남자인구수 (명)","100+",3
"영등포본동","2011","여자인구수 (명)","계",12520
"영등포본동","2011","여자인구수 (명)","0 - 4세",584
"영등포본동","2011","여자인구수 (명)","5 - 9세",512
"영등포본동","2011","여자인구수 (명)","10 - 14세",524
"영등포본동","2011","여자인구수 (명)","15 - 19세",651
"영등포본동","2011","여자인구수 (명)","20 - 24세",694
"영등포본동","2011","여자인구수 (명)","25 - 29세",1002
"영등포본동","2011","여자인구수 (명)","30 - 34세",1260
"영등포본동","2011","여자인구수 (명)","35 - 39세",1178
"영등포본동","2011","여자인구수 (명)","40 - 44세",1047
"영등포본동","2011","여자인구수 (명)","45 - 49세",911
"영등포본동","2011","여자인구수 (명)","50 - 54세",1146
"영등포본동","2011","여자인구수 (명)","55 - 59세",898
"영등포본동","2011","여자인구수 (명)","60 - 64세",671
"영등포본동","2011","여자인구수 (명)","65 - 69세",514
"영등포본동","2011","여자인구수 (명)","70 - 74세",376
"영등포본동","2011","여자인구수 (명)","75 - 79세",282
"영등포본동","2011","여자인구수 (명)","80 - 84세",152
"영등포본동","2011","여자인구수 (명)","85 - 89세",73
"영등포본동","2011","여자인구수 (명)","90 - 94세",32
"영등포본동","2011","여자인구수 (명)","95 - 99세",6
"영등포본동","2011","여자인구수 (명)","100+",7
"영등포본동","2014","총인구수 (명)","계",24050
"영등포본동","2014","총인구수 (명)","0 - 4세",1079
"영등포본동","2014","총인구수 (명)","5 - 9세",859
"영등포본동","2014","총인구수 (명)","10 - 14세",875
"영등포본동","2014","총인구수 (명)","15 - 19세",1162
"영등포본동","2014","총인구수 (명)","20 - 24세",1578
"영등포본동","2014","총인구수 (명)","25 - 29세",1736
"영등포본동","2014","총인구수 (명)","30 - 34세",2188
"영등포본동","2014","총인구수 (명)","35 - 39세",2041
"영등포본동","2014","총인구수 (명)","40 - 44세",2079
"영등포본동","2014","총인구수 (명)","45 - 49세",1948
"영등포본동","2014","총인구수 (명)","50 - 54세",2048
"영등포본동","2014","총인구수 (명)","55 - 59세",2026
"영등포본동","2014","총인구수 (명)","60 - 64세",1383
"영등포본동","2014","총인구수 (명)","65 - 69세",1146
"영등포본동","2014","총인구수 (명)","70 - 74세",843
"영등포본동","2014","총인구수 (명)","75 - 79세",548
"영등포본동","2014","총인구수 (명)","80 - 84세",299
"영등포본동","2014","총인구수 (명)","85 - 89세",127
"영등포본동","2014","총인구수 (명)","90 - 94세",55
"영등포본동","2014","총인구수 (명)","95 - 99세",18
"영등포본동","2014","총인구수 (명)","100+",12
"영등포본동","2014","남자인구수 (명)","계",12139
"영등포본동","2014","남자인구수 (명)","0 - 4세",538
"영등포본동","2014","남자인구수 (명)","5 - 9세",451
"영등포본동","2014","남자인구수 (명)","10 - 14세",467
"영등포본동","2014","남자인구수 (명)","15 - 19세",618
"영등포본동","2014","남자인구수 (명)","20 - 24세",816
